dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5016069788797061,0.48484848484848486,0.49935034589305366,"[[  2 130]
 [  6 126]]",0.8307679692224639,0.532347504621072,0.8175395318604635
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5880968778696052,0.5606060606060606,0.5332476232580181,"[[ 23 109]
 [  7 125]]",0.8301461317953677,0.5591497227356746,0.8065265989463735
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5590564738292011,0.5189393939393939,0.5445851599661201,"[[ 12 120]
 [  7 125]]",0.8399827798866342,0.5573012939001848,0.8152376351959633
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5472337006427916,0.5113636363636364,0.505909912454032,"[[  8 124]
 [  5 127]]",0.8507556008077053,0.5471349353049908,0.8376378352877367
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.6072084481175389,0.5227272727272727,0.5623478490789473,"[[  9 123]
 [  3 129]]",0.8363474226205322,0.5536044362292052,0.8190374825965656
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.6016733563231387,0.5075187969924813,0.5911244395041317,"[[  4 129]
 [  2 131]]",0.8529159682088386,0.5269016697588126,0.8282140095707381
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.6203290180338062,0.5037593984962406,0.606421560892586,"[[  7 126]
 [  6 127]]",0.8634590959001243,0.5528756957328386,0.8457825558480518
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5988184747583244,0.49624060150375937,0.5830901154272707,"[[  1 132]
 [  2 131]]",0.855910588219096,0.5120593692022264,0.8415902540263944
,,,,,,,,,
